אני באמת דואג לך ותמיד כאן בשבילך אם תצטרכי עזרה.	ani vʔmt duʔɡ lχ vtmid χʔnə vʃvjlχ im ttstrχi ʔzra 
אני שמח בשבילך ומקווה בשבילך שכל מה שתרצה יקרה	ani ʃmχ vʃvjlχ vmkovh vʃvjlχ ʃχl ma ʃtrtsa jkra 
אני בא אליך אחר כך ונשאר אצלך קצת אם מתאים. מה אתה אומר?	ani vʔ ʔliχ ʔχr χχ vnʃʔr ʔtslχ ktst im mtʔim ma ʔta ʔvmr 
אני לומד ממך המון ומעריך ממך כל דבר קטן שאתה נותן	ani lvmd mmχ hmvnə vmʔriχ mmχ χl dvr ktnə ʃʔta notnə 
אני שמח בשבילך ומודה לך על כל מה שאתה עושה	ani ʃmχ vʃvjlχ vmvda lχ ʔl χl ma ʃʔta ʔvʃh 
אני לומד ממך המון, אתה בן אדם חכם	ani lvmd mmχ hmvnə ʔta vnə ʔdm χχm 
אני שמח בשבילך, אחי	ani ʃmχ vʃvjlχ ʔχi 
אני מתכנן לבוא אלייך מחר ורציתי לדעת אם זה מתאים לך	ani mtχnnə lvvʔ ʔlijχ mχr vrtsiti ldʔt im zh mtʔim lχ 
אני עומד לצדך ורוצה לשמוע ממך שאתה לא לבד בזה	ani ʔvmd ltsdχ vrvtsa lʃmvʔ mmχ ʃʔta lo lvd vzh 
אני עומד לצדך ורוצה לשמוע ממך שאת לא לבד בזה	ani ʔvmd ltsdχ vrvtsa lʃmvʔ mmχ ʃʔt lo lvd vzh 
אוריה אמרה לי שהיא אוהבת לטייל בטבע.	ʔvrih ʔmra li ʃhiʔ ʔvhvt ltijl vtvʔ 
תהל אמרה שהיא מנסה לעשות יותר הפסקות במהלך היום	tal ʔmra ʃhiʔ mnsa lʔʃot joter hfskot vmhlχ hium 
רננה סיפרה שהיא מתכננת טיול ארוך אחרי הלימודים	rnna sifra ʃhiʔ mtχnnt tivl ʔrvχ ʔχri hlimvdim 
אלירז אמר שהוא מנסה למצוא קצת יותר איזון בחיים	ʔlirz ʔmr ʃhvʔ mnsa lmtsvʔ ktst joter ʔizvnə vχim 
ינאי כתב שהוא רוצה להתחיל משהו חדש השנה	jnʔi χtv ʃhvʔ rotse latχil maʃehu χadaʃ haʃana 
אושרה אמרה שהיא מנסה להיות יותר סבלנית עם עצמה	ʔvʃra ʔmra ʃhiʔ mnsa lajot joter svlnit im ʔtsmh 
שלומי סיפר שהוא התחיל לעבוד על פרויקט חדש והוא מתלהב מזה	ʃlvmi sifr ʃhvʔ htχil laavod ʔl frvjkt χadaʃ vhvʔ mtlav mzh 
ידידה סיפרה שהיא התחילה ללמוד בטכניון ועברה לגור בחיפה	jdida sifra ʃhiʔ htχila lilmod vtχnivnə vʔvra lɡvr vχifh 
מישהי בעבודה אמרה שהיא שוקלת לעבור לראשון לציון בשביל להיות קרובה למשפחה	miʃehi vʔvvda ʔmra ʃhiʔ ʃvklt lʔvvr lrʔʃvnə ltsivnə vʃvjl lajot krvvh lmʃfχa 
אחד מהחברים אמר שהוא חוזר לגור בעפולה אחרי כמה שנים במרכז	ʔχd mhχvrim ʔmr ʃhvʔ χvzr lɡvr vʔfvla ʔχri kama ʃanim vmrχz 
וואלה אח שלי אתה.	vvʔla ʔχ ʃli ʔta 
יאללה מתי אתה מגיע?	jʔlla mataj ʔta mɡiʔ 
יש שם אווירה ממש סחבקית, כולם מרגישים בבית	jʃ ʃm ʔvvjra mmʃ sχvkit χvlm mrɡiʃm vvit 
ג'ירפה צעירה רצה לאט ליד אמא שלה ונראתה מאוד שלווה	dʒirfh tsʔira rtsa lʔt lid ʔmʔ ʃla vnrʔta mʔvd ʃlvvh 
הזמנתי וויסקי קטן רק בשביל הטעם	hzmnti vvjski ktnə rk vʃvjl htʔm 
הבאתי צ'יפס חם ופריך, והוא נגמר תוך דקה.	hvʔti tʃifs χm vfriχ vhvʔ ŋmr toχ dka 
שרה שרה שיר שמח	ʃra ʃra ʃjr ʃmχ 
שמתי ז'קט כי נהיה קצת קר.	ʃmti ʒkt χi najh ktst kr 
בבוקר הכנתי ג'חנון ואכלנו כולנו ביחד	vvvkr hχnti dʒχnvnə vʔχlnv χvlnv vjχd 
הוא קנה לעצמו ג'ויסטיק חדש למשחקים	hu kna lʔtsmv dʒvjstik χadaʃ lmʃχkim 
הצלחת הזו נראית ממש יפה.	htslχt hzv nrʔit mmʃ jfh 
אני יודע לנסוע באופניים.	ani jvdʔ lnsvʔ vʔvfnim 
איזה שמיים יפים וכחולים.	ejze ʃamajim jfim vχχvlim 
אתה צורח וזה כואב לי באוזניים.	ʔta tsvrχ vzh χvʔv li vʔvznim 
נכנסתי למטבח רק לקחת מים ובסוף מצאתי את עצמי מכין ארוחה שלמה	nχnsti lmtvχ rk lkχt majim vvsvf mtsʔti ʔt ʔtsmi mχinə ʔrvχa ʃlmh 
אמרתי לעצמי שאני רק אבדוק רגע את הטלפון ובסוף עבר חצי שעה	ʔmrti lʔtsmi ʃʔni rk ʔvduk rɡʔ ʔt htlfvnə vvsvf ʔvr χtsi ʃaʔa 
הייתי בטוח שיש לי עוד זמן ואז גיליתי שהשעה כבר מאוחרת	hiitj vtvχ ʃjʃ li od zman vʔz ɡiliti ʃhʃʔa χvr mʔvχrt 
באתי רק להגיד שלום ונשארתי הרבה יותר ממה שתכננתי	vʔti rk laɡid ʃalom vnʃʔrti hrvh joter mmh ʃtχnnti 
שמתי תזכורת ולא הבנתי איך בכל זאת הצלחתי לשכוח	ʃmti tzχvrt vlʔ hvnti ʔeχ vχl zʔt htslχti lʃχvχ 
היה לי רגע קצר של שקט והוא נתן לי מלא כוח	hih li rɡʔ ktsr ʃl ʃkt vhvʔ ntnə li mlʔ χvχ 
עשיתי שינוי קטן בשגרה והוא נתן לי תחושה ממש טובה	ʔʃitj ʃjnvj ktnə vʃɡra vhvʔ ntnə li tχvʃh mmʃ tova 
פגשתי במקרה מישהו שלא ראיתי הרבה זמן וזה עשה לי את היום	fɡʃti vmkra miʃehu ʃlʔ rʔiti hrvh zman vzh ʔʃh li ʔt hium 
ישבתי לנוח דקה על הספה ובלי לשים לב נרדמתי	jʃvti lnvχ dka ʔl hsfh vvli lʃm lv nrdmti 
קבעתי להגיע בזמן אבל פקקים הרסו לי את כל התוכנית	kvʔti laɡiʔ vzmnə ʔvl fkkim hrsv li ʔt χl htvχnit 
הקשבתי לעצמי הפעם וזה עבד לי ממש טוב	hkʃvti lʔtsmi hfʔm vzh ʔvd li mmʃ tov 
הלכתי על משהו קטן ויצא ממנו משהו גדול וטוב	hlχti ʔl maʃehu ktnə vjtsʔ mmnv maʃehu ɡdul vtvv 
ניסיתי להסביר את עצמי ופשוט הסתבכתי יותר עם כל מילה	nisiti lasvjr ʔt ʔtsmi vfʃvt hstvχti joter im χl mila 
עשיתי משהו בשביל עצמי והרגשתי שזה בדיוק מה שהייתי צריך	ʔʃitj maʃehu vʃvjl ʔtsmi vhrɡʃti ʃzh vdivk ma ʃhiitj tsriχ 
חשבתי שזה יהיה משהו קטן ופשוט וזה יצא הרבה יותר מורכב	χʃvti ʃzh jhih maʃehu ktnə vfʃvt vzh jtsʔ hrvh joter mvrχv 
רציתי יום שקט בבית ובסוף כל היום היה מלא התעסקויות	rtsiti jom ʃkt vvit vvsvf χl hium hih mlʔ htʔskojot 
אמרתי שאקום מוקדם ובסוף גררתי את עצמי מהמיטה	ʔmrti ʃʔkom mvkdm vvsvf ɡrrti ʔt ʔtsmi mhmita 
לא ציפיתי לכלום ובכל זאת היום התמלא ברגעים יפים	lo tsifiti lχlum vvχl zʔt hium htmlʔ vrɡʔim jfim 
הייתי בטוח שאני מבין מה קורה ואז הכל הסתבך לי	hiitj vtvχ ʃʔni mvjnə ma kora vʔz hχl hstvχ li 
חשבתי שזה עוד יום רגיל ויצאה ממנו תחושה מדהימה	χʃvti ʃzh od jom rɡil vjtsʔh mmnv tχvʃh mdajmh 
שמתי תזכורת ולא הבנתי איך בכל זאת הצלחתי לשכוח	ʃmti tzχvrt vlʔ hvnti ʔeχ vχl zʔt htslχti lʃχvχ 
ניסיתי להיות רציני ובאיזשהו שלב זה כבר הפך לבדיחה	nisiti lajot rtsini vvʔizʃhv ʃlv zh χvr hfχ lvdiχa 
חשבתי שאני מוכן להכל ואז הגיע משהו שלא צפיתי	χʃvti ʃʔni mvχnə laχl vʔz hɡiʔ maʃehu ʃlʔ tsfiti 
פגשתי אנשים טובים והם פשוט עשו לי את היום	fɡʃti ʔnʃm tvvm vhem fʃvt ʔʃv li ʔt hium 
עשיתי צעד קטן והוא הרגיש כמו התקדמות גדולה	ʔʃitj tsʔd ktnə vhvʔ hrɡiʃ χmv htkdmot ɡdula 
היה לי רגע קצר של שקט והוא נתן לי מלא כוח	hih li rɡʔ ktsr ʃl ʃkt vhvʔ ntnə li mlʔ χvχ 
קניתי משהו קטן ובסוף זה גרר עוד מיליון דברים מסביב	kniti maʃehu ktnə vvsvf zh ɡrr od milivnə dvrim msvjv 
הבטחתי לעצמי להיות רגוע ואז מישהו לחץ לי על העצבים	hvtχti lʔtsmi lajot rɡvʔ vʔz miʃehu lχts li ʔl hʔtsvm 
חשבתי לעשות הפסקה קצרה ופתאום עבר חצי יום	χʃvti lʔʃot hfska ktsra vftʔum ʔvr χtsi jom 
ישבתי לחשוב רגע ובלי לשים לב כבר הייתי עמוק בתוך זה	jʃvti lχʃvv rɡʔ vvli lʃm lv χvr hiitj ʔmvk vtvχ zh 
אמרתי שהפעם אני באמת מתארגן בזמן ובסוף שוב מיהרתי	ʔmrti ʃhfʔm ani vʔmt mtʔrɡnə vzmnə vvsvf ʃvv mihrti 
אמרתי לעצמי להיות רגוע ופשוט נהניתי מכל רגע	ʔmrti lʔtsmi lajot rɡvʔ vfʃvt naniti mχl rɡʔ 
לא תכננתי כלום והיום התמלא בדברים טובים מעצמם	lo tχnnti χlum vhium htmlʔ vdvrim tvvm mʔtsmm 
נכנסתי לשיחה סתם בכאילו ובסוף יצא דיבור ממש עמוק	nχnsti lʃjχa stm vχʔilv vvsvf jtsʔ divvr mmʃ ʔmvk 
היה לי תכנון ברור ואז המציאות פשוט צחקה לי בפנים	hih li tχnvnə vrvr vʔz hmtsiʔot fʃvt tsχka li vfnim 
ניסיתי לעשות את זה פשוט ובדרך איכשהו זה נהיה מסובך יותר	nisiti lʔʃot ʔt zh fʃvt vvdrχ ejχʃehu zh najh msvvχ joter 
התעוררתי עם אנרגיות טובות והכול פשוט זרם לי היום	htʔvrrti im ʔnrɡivt tvvot vhχvl fʃvt zrm li hium 
קבעתי לצאת רק קצת והיום הפך למלא חוויות טובות	kvʔti ltsʔt rk ktst vhium hfχ lmlʔ χvvjot tvvot 
נפגשנו סתם לכוס קפה ויצאה שיחה ממש נעימה	nfɡʃnv stm lχvs kfh vjtsʔh ʃjχa mmʃ nʔimh 
הייתי בטוח שזה יהיה רגיל ויצא הרבה יותר טוב ממה שציפיתי	hiitj vtvχ ʃzh jhih rɡil vjtsʔ hrvh joter tov mmh ʃtsifiti 
יצאתי להליכה קצרה וחזרתי עם חיוך גדול על הפנים	jtsʔti laliχh ktsra vχzrti im χivχ ɡdul ʔl hfnim 
עשיתי משהו קטן בשביל מישהו וקיבלתי פי כמה חזרה בלב	ʔʃitj maʃehu ktnə vʃvjl miʃehu vkivlti fi kama χzra vlv 
חשבתי שזה יום רגוע והוא הפך ליום ממש כיף	χʃvti ʃzh jom rɡvʔ vhvʔ hfχ lium mmʃ χif 
עשיתי הפסקה קטנה והיא נתנה לי בוסט מטורף להמשך	ʔʃitj hfska ktna vhiʔ ntna li vvst mtvrf lamʃχ 
הלכתי בלי ציפיות ויצאתי עם תחושה ממש טובה	hlχti vli tsifivt vjtsʔti im tχvʃh mmʃ tova 
השקעתי קצת זמן ופתאום הכול הסתדר בצורה מושלמת	hʃkʔti ktst zman vftʔum hχvl hstdr vtsvra mvʃlmt 
טלסקופ החלל החדש צילם גלקסיות ספירליות במרחק עצום ממערכת השמש שלנו.	tlskof hχll hχdʃ tsilm ɡlksivt sfirlivt vmrχk ʔtsum mmʔrχt hʃmʃ ʃlnv 
השף הצרפתי הכין פונדו גבינות מבעבע עם צ'יפס פריך וקרוטונים מתובלים.	hʃf htsrfti hχinə fvndu ɡvjnot mvʔvʔ im tʃifs friχ vkrvtvnim mtvvlim 
האלגוריתם המתוחכם הצליח לפענח הצפנה קוונטית בזמן אמת ללא שגיאות מערכת.	hʔlɡvritm hmtvχχm hitsliaχ lfʔnχ htsfna kovntit vzmnə emet lelo ʃɡiʔot mʔrχt 
הארכיאולוגים גילו בחפירות פסיפס ביזנטי עתיק ונדיר שנשתמר בצורה יוצאת דופן.	hʔrχiʔvlvɡim ɡilv vχfirot fsifs vjznti ʔtik vndir ʃnʃtmr vtsvra jvtsʔt dufnə 
האינפלציה הדוהרת השפיעה דרמטית על שוק המניות והובילה לקריסת בנקים מקומיים.	hʔinfltsih hduhrt hʃfiʔa drmtit ʔl ʃvk hmnivt vhvvjla lkrist vnkim mkomim 
הסופר פרסם אנתולוגיה מרתקת של סיפורי מדע בדיוני ופנטזיה אפלה לנוער.	hsvfr frsm ʔntvlvɡih mrtkt ʃl sifvri mdʔ vdivni vfntzih ʔfla lnvʔr 
הדוגמנית לבשה ז'קט קטיפה בצבע בורדו עם אקססוריז נוצצים ונעלי עקב.	hduɡmnit lvʃh ʒkt ktifh vtsvʔ vvrdu im ʔkssvriz nvtstsim vnʔli ʔkv 
הפיורדים בנורווגיה מציעים נופים עוצרי נשימה של הרים תלולים ומים צלולים.	hfivrdim vnvrvvɡih mtsiʔim nvfim ʔvtsri nʃjmh ʃl hrim tlvlim vmim tslvlim 
הקואליציה והאופוזיציה ניהלו עימות סוער בוועדת החוקה סביב הרפורמה המשפטית החדשה.	hkoʔlitsih vhʔvfvzitsih nihlv ʔimot svʔr vvvʔdt hχvka svjv hrfvrmh hmʃftit hχdʃh 
הפסיכיאטר רשם תרופה אנטיביוטית ופסיכואקטיבית לטיפול בתסמינים כרוניים של חרדה חברתית.	hfsiχiʔtr rʃm trvfh ʔntivjvtit vfsiχvʔktivit ltifvl vtsminim χrvnim ʃl χrda χvrtit 
גורדי השחקים במטרופולין תוכננו על ידי ארכיטקט מפורסם בסגנון פוסט מודרני.	ɡvrdi hʃχkim vmtrvfvlinə tvχnnv ʔl jdi ʔrχitkt mfvrsm vsɡnvnə fvst mvdrni 
המנוע ההיברידי של הרכב מאפשר חיסכון אנרגטי משמעותי והפחתת זיהום האוויר.	hmnvʔ hhivridi ʃl hrχv mʔfʃr χisχvnə ʔnrɡti mʃmʔotj vhfχtt zihum hʔvvjr 
התערוכה במוזיאון מציגה פורטרטים אבסטרקטיים שנוצרו בטכניקות מעורבות של צבעי שמן.	htʔrvχh vmvziʔvnə mtsiɡa fvrtrtim ʔvstrktim ʃnvtsrv vtχnikot mʔvrvot ʃl tsvʔi ʃmnə 
הווטרינר בדק את התוכי המדבר והמליץ על תזונה עשירה בוויטמינים ומינרלים.	hvvtrinr vdk ʔt htvχi hmdvr vhmlits ʔl tzvna ʔʃjra vvvjtminim vminrlim 
מטאורולוגים חזרו וצפו סופת הוריקן עוצמתית שתפגע בערי החוף בשבוע הבא.	mtʔvrvlvɡim χzrv vtsfv svft hvriknə ʔvtsmtit ʃtfɡʔ vʔri hχvf vʃvvʔ hvʔ 
הבמאי זכה בפרס האוסקר על סרט דוקומנטרי העוסק במשבר האקלים העולמי.	hvmʔi zχh vfrs hʔvskr ʔl seret dukomntri hʔvsk vmʃvr hʔklim hʔvlmi 
השחקנים התחברו לשרת וניהלו קרב אסטרטגי וירטואלי מול מפלצות פנטסטיות אימתניות.	hʃχknim htχvrv lʃrt vnihlv krv ʔstrtɡi vjrtvʔli mvl mfltsot fntstivt ʔimtnivt 
האקזיסטנציאליזם מתמקד במשמעות הקיום האנושי, חופש הבחירה ואחריות אישית בעולם אבסורדי.	hʔkzistntsiʔlizm mtmkd vmʃmʔot hkium hʔnvʃj χvfʃ hvχira vʔχrivt ʔiʃit vʔvlm ʔvsvrdi 
הפונטיקה עוסקת בחקר החיתוך, ההפקה והתפיסה של צלילי השפה המדוברת בפינו.	hfvntika ʔvskt vχkr hχitvχ hhfka vhtfisa ʃl tslili hʃfh hmduvrt vfinv 
תיאוריית הדיסוננס הקוגניטיבי מסבירה את הקונפליקט הפנימי הנוצר עקב אמונות סותרות.	tiʔvriit hdisvnns hkoɡnitivj msvjra ʔt hkonflikt hfnimi hnvtsr ʔkv ʔmvnot sotrot 
עורך הדין הציג תקדים משפטי מורכב ששינה את החלטת חבר המושבעים.	ʔvrχ hdinə htsiɡ tkdim mʃfti mvrχv ʃʃjna ʔt hχltt χvr hmvʃvʔim 
תורת היחסות של איינשטיין חוללה מהפכה בהבנתנו את המרחב, הזמן והכבידה.	tvrt hiχsot ʃl ʔijnʃtijnə χvlla mhfχh vhvntnv ʔt hmrχv hzmnə vhχvjda 
תגובה אקסותרמית מתרחשת כאשר חומרים כימיים מתרכבים ומשחררים אנרגיית חום לסביבה.	tɡvvh ʔksotrmit mtrχʃt χʔʃr χvmrim χimim mtrχvm vmʃχrrim ʔnrɡiit χum lsvjvh 
הפדגוגיה המודרנית דוגלת בלמידה חווייתית המותאמת אישית לצרכים הקוגניטיביים של התלמיד.	hfdɡvɡih hmvdrnit duɡlt vlmida χvvjitit hmotʔmt ʔiʃit ltsrχim hkoɡnitivim ʃl htlmid 
הקברניט הודיע לנוסעים על מערבולות אוויר פתאומיות וביקש לחגור חגורות בטיחות.	hkvrnit hvdiʔ lnvsʔim ʔl mʔrvvlot ʔvvjr ftʔvmivt vvjkʃ lχɡvr χɡvrot vtiχot 
הפוטוסינתזה היא תהליך קריטי בו צמחים מייצרים פחמימות בעזרת אנרגיית השמש.	hfvtvsintzh hi taliχ kriti vv tsmχim mijtsrim fχmimot vʔzrt ʔnrɡiit hʃmʃ 
הגיאומטריה האנליטית משלבת אלגברה מופשטת כדי לפתור משוואות של עקומות ופונקציות.	hɡiʔvmtrih hʔnlitit mʃlvt ʔlɡvra mvfʃtt χdi lftvr mʃvvʔot ʃl ʔkomot vfvnktsivt 
הצוללת הרובוטית חקרה את שונית האלמוגים וגילתה מינים אקזוטיים של רכיכות.	htsvllt hrvvvtit χkra ʔt ʃvnit hʔlmvɡim vɡilta minim ʔkzvtim ʃl rχiχvt 
השחקנית הראשית ביצעה מונולוג דרמטי ומרגש שסחט מחיאות כפיים סוערות מהקהל.	hʃχknit hrʔʃit vjtsʔa mvnvlvɡ drmti vmrɡʃ ʃsχt mχiʔot χfim svʔrot mhkal 
מיחזור פסולת אלקטרונית מסייע בהפחתת פליטת גזי חממה ושמירה על הביוספרה.	miχzvr fsvlt ʔlktrvnit msijʔ vhfχtt flitt ɡzi χmmh vʃmira ʔl hvjvsfra 
תהליך הסוציאליזציה משפיע על הדרך בה אינדיבידואלים רוכשים נורמות וערכים תרבותיים.	taliχ hsvtsiʔliztsih mʃfiʔ ʔl hdrχ bah ʔindivjduʔlim rvχʃm nvrmot vʔrχim trvotim 
הטקסטים האפוקליפטיים בתיאולוגיה העתיקה מתארים חזונות מיסטיים על קץ הימים והגאולה.	htkstim hʔfvkliftim vtiʔvlvɡih hʔtika mtʔrim χzvnot mistim ʔl kts himim vhɡʔvla 
דיאטנים ממליצים על צריכת קטניות, דגנים מלאים ופרוביוטיקה לשמירה על המיקרוביום.	diʔtnim mmlitsim ʔl tsriχt ktnivt dɡnim mlʔim vfrvvjvtika lʃmira ʔl hmikrvvjum 
האומן יצר כלי קרמיקה דקורטיביים בעזרת אבנים, חימר טבעי וגלזורה צבעונית.	hʔvmnə jtsr χli krmika dkortivim vʔzrt ʔvnim χimr tvʔi vɡlzvra tsvʔvnit 
האסטרונאוטים בתחנת החלל הבינלאומית מבצעים ניסויים בתנאי חוסר כבידה שמשפיעים על הפיזיולוגיה.	hʔstrvnʔvtim vtχnt hχll hvjnlʔvmit mvtsʔim nisvim vtnʔi χvsr χvjda ʃmʃfiʔim ʔl hfizivlvɡih 
החוקרים תיעדו שבטים ילידיים החיים בבידוד מוחלט ביערות האמזונס.	hχvkrim tiʔdu ʃvtim jlidim hχim vvjdud mvχlt vjʔrot hʔmzvns 
חוקרי הגנטיקה פענחו את הרצף המורכב כדי לאתר מוטציות תורשתיות נדירות.	χvkri hɡntika fʔnχv ʔt hrtsf hmvrχv χdi lʔtr mvttsivt tvrʃtivt ndirot 
המיזם הטכנולוגי גייס הון סיכון אדיר לפיתוח פלטפורמה אינטראקטיבית מבוססת אלגוריתמים.	hmizm htχnvlvɡi ɡijs hvnə siχvnə ʔdir lfitvχ fltfvrmh ʔintrʔktivit mvvsst ʔlɡvritmim 
המהנדסים תכננו גשר תלוי עם כבלי פלדה שיעמוד ברעידות אדמה חזקות.	hmhndsim tχnnv ɡʃr tlvj im χvli flda ʃjʔmvd vrʔidot ʔdmh χzkot 
התיירים סיירו בטירה הסקוטית ושמעו אגדות אורבניות על רוחות רפאים עתיקות.	htijrim sijrv vtira hskotit vʃmʔv ʔɡdot ʔvrvnivt ʔl rvχot rfʔim ʔtikot 
הכוריאוגרף שילב אלמנטים של בלט קלאסי, היפ-הופ וריקוד מודרני במופע.	hχvriʔvɡrf ʃjlv ʔlmntim ʃl vlt klʔsi hifhvf vrikod mvdrni vmvfʔ 
איסוף בולים דורש סבלנות, פינצטה עדינה וזכוכית מגדלת לבחינת הפרטים.	ʔisvf vvlim durʃ svlnot fintsta ʔdina vzχvχit mɡdlt lvχint hfrtim 
מטבעות קריפטוגרפיים מבוזרים מאובטחים באמצעות בלוקצ'יין וחוזים חכמים נגד מתקפות סייבר.	mtvʔot kriftvɡrfim mvvzrim mʔvvtχim vʔmtsʔot vlvktʃijnə vχvzim χχmim ŋd mtkfvt sijvr 
דיונונים ענקיים משתמשים בהסוואה אופטית ובזרועות שריריות כדי לצוד במעמקי האוקיינוס.	divnvnim ʔnkim mʃtmʃm vhsvvʔh ʔvftit vvzrvʔot ʃririvt χdi ltsvd vmʔmki hʔvkijnvs 
האפידמיולוגים עקבו אחר התפשטות הנגיף המוטנטי באמצעות בדיקות סרולוגיות וריצוף גנטי.	hʔfidmivlvɡim ʔkvv ʔχr htfʃtvt hŋjf hmvtnti vʔmtsʔot vdikot srvlvɡivt vritsvf ɡnti 
מסוקי האפאצ'י המתקדמים ביצעו תמרונים אווירובטיים מסובכים מעל בסיס חיל האוויר בדרום.	msvki hʔfʔtʃi hmtkdmim vjtsʔv tmrvnim ʔvvjrvvtim msvvχim mʔl vsis χil hʔvvjr vdrum 
אימפריית האינקה ניהלה רשת דרכים מסועפת בהרי האנדים למרות היעדר גלגלים.	ʔimfriit hʔinka nihla rʃt drχim msvʔft vhri hʔndim lmrot hiʔdr ɡlɡlim 
תיבת ההילוכים האוטומטית הרציפה משפרת את ההאצה ומקטינה את צריכת הדלק.	tivt hhilvχim hʔvtvmtit hrtsifh mʃfrt ʔt hhʔtsa vmktina ʔt tsriχt hdlk 
הלטאה מסוגלת להניע כל עין בנפרד ולשגר לשון דביקה במהירות.	hltʔh msvɡlt laniʔ χl ʔinə vnfrd vlʃɡr lʃvnə dvjka vmhirot 
חלקיקים חסרי מסה כמעט חולפים דרך כדור הארץ ללא שום אינטראקציה.	χlkikim χsri msa χmʔt χvlfim drχ χdur hʔrts lelo ʃum ʔintrʔktsih 
סרטי אנימציה ממוחשבים דורשים חוות שרתים עצומות לרינדור גרפי של טקסטורות מורכבות.	srti ʔnimtsih mmvχʃvm durʃm χvot ʃrtim ʔtsvmot lrindur ɡrfi ʃl tkstvrot mvrχvot 
צמחים טורפים נסגרים ברגע שחרק נוגע בשערות החישה הזעירות.	tsmχim tvrfim nsɡrim vrɡʔ ʃχrk nvɡʔ vʃʔrot hχiʃh hzʔirot 
קניונים גיאולוגיים עמוקים נוצרים לאורך מיליוני שנים עקב שחיקה של זרמי נהרות.	knivnim ɡiʔvlvɡim ʔmvkim nvtsrim lʔvrχ milivni ʃanim ʔkv ʃχika ʃl zrmi narot 
כרומטוגרפיה נוזלית יעילה משמשת להפרדת תרכובות אורגניות בתעשיית התרופות והקוסמטיקה המודרנית.	χrvmtvɡrfih nvzlit jʔila mʃmʃt lafrdt trχvvot ʔvrɡnivt vtʔʃjit htrvfvt vhkosmtika hmvdrnit 
הדרקון המיתולוגי ירק אש קטלנית ומרחף מעל טירת האבירים העתיקה באירופה.	hdrkonə hmitvlvɡi jrk ʔeʃ ktlnit vmrχf mʔl tirt hʔvjrim hʔtika vʔirvfh 
ממשק המשתמש האינטראקטיבי באפליקציה תוכנן בקפידה כדי להעניק חווית ניווט אינטואיטיבית וחלקה.	mmʃk hmʃtmʃ hʔintrʔktivj vʔfliktsih tvχnnə vkfida χdi laʔnik χvvit nivvt ʔintvʔitivit vχlka 
השחקנים החסונים התנגשו בעוצמה במהלך משחק הגמר הדרמטי באצטדיון הלאומי הומה האדם.	hʃχknim hχsvnim htŋʃv vʔvtsmh vmhlχ mʃχk hɡmr hdrmti vʔtstdivnə hlʔvmi hvmh hʔdm 
